place,date,value,StringencyIndex_Average_ForDisplay
Residential,2020-03-10,100.85714285714286,11.11
Transit stations,2020-03-11,93.85714285714286,11.11
Workplaces,2020-03-11,99.14285714285714,11.11
Retail & recreation,2020-03-11,98.42857142857143,11.11
Grocery & pharmacy,2020-03-11,106.42857142857143,11.11
Residential,2020-03-11,101.14285714285714,11.11
Transit stations,2020-03-12,91.28571428571429,11.11
Workplaces,2020-03-12,98.42857142857143,11.11
Retail & recreation,2020-03-12,96.28571428571429,11.11
Grocery & pharmacy,2020-03-12,107.14285714285714,11.11
Residential,2020-03-12,101.57142857142857,11.11
Transit stations,2020-03-13,89.42857142857143,11.11
Workplaces,2020-03-13,97.14285714285714,11.11
Retail & recreation,2020-03-13,95.85714285714286,11.11
Grocery & pharmacy,2020-03-13,109.42857142857143,11.11
Residential,2020-03-13,102,11.11
Transit stations,2020-03-14,86.14285714285714,11.11
Workplaces,2020-03-14,94.85714285714286,11.11
Retail & recreation,2020-03-14,94,11.11
Grocery & pharmacy,2020-03-14,111.71428571428571,11.11
Residential,2020-03-14,102.85714285714286,11.11
Transit stations,2020-03-15,82.14285714285714,11.11
Workplaces,2020-03-15,91.57142857142857,11.11
Retail & recreation,2020-03-15,91,11.11
Grocery & pharmacy,2020-03-15,114.14285714285714,11.11
Residential,2020-03-15,104.14285714285714,11.11
Transit stations,2020-03-16,78,14.81
Workplaces,2020-03-16,87.85714285714286,14.81
Retail & recreation,2020-03-16,88.14285714285714,14.81
Grocery & pharmacy,2020-03-16,116,14.81
Residential,2020-03-16,105.42857142857143,14.81
Transit stations,2020-03-17,73.57142857142857,20.37
Workplaces,2020-03-17,84.28571428571429,20.37
Retail & recreation,2020-03-17,84.42857142857143,20.37
Grocery & pharmacy,2020-03-17,115.85714285714286,20.37
Residential,2020-03-17,107,20.37
Transit stations,2020-03-18,69.14285714285714,20.37
Workplaces,2020-03-18,81,20.37
Retail & recreation,2020-03-18,78.71428571428571,20.37
Grocery & pharmacy,2020-03-18,115,20.37
Residential,2020-03-18,108.28571428571429,20.37
Transit stations,2020-03-19,64.85714285714286,20.37
Workplaces,2020-03-19,77.28571428571429,20.37
Retail & recreation,2020-03-19,72.28571428571429,20.37
Grocery & pharmacy,2020-03-19,112,20.37
Residential,2020-03-19,109.28571428571429,20.37
Transit stations,2020-03-20,59.57142857142857,25.93
Workplaces,2020-03-20,72.14285714285714,25.93
Retail & recreation,2020-03-20,66.28571428571429,25.93
Grocery & pharmacy,2020-03-20,108,25.93
Residential,2020-03-20,111.14285714285714,25.93
Transit stations,2020-03-21,54.285714285714285,35.19
Workplaces,2020-03-21,66.14285714285714,35.19
Retail & recreation,2020-03-21,58.285714285714285,35.19
Grocery & pharmacy,2020-03-21,101.57142857142857,35.19
Residential,2020-03-21,113.57142857142857,35.19
Transit stations,2020-03-22,49.42857142857143,40.74
Workplaces,2020-03-22,60.285714285714285,40.74
Retail & recreation,2020-03-22,50.857142857142854,40.74
Grocery & pharmacy,2020-03-22,94.71428571428571,40.74
Residential,2020-03-22,115.85714285714286,40.74
Transit stations,2020-03-23,44.714285714285715,44.44
Workplaces,2020-03-23,54.714285714285715,44.44
Retail & recreation,2020-03-23,43.285714285714285,44.44
Grocery & pharmacy,2020-03-23,87.28571428571429,44.44
Residential,2020-03-23,118.14285714285714,44.44
Transit stations,2020-03-24,40.285714285714285,44.44
Workplaces,2020-03-24,49.42857142857143,44.44
Retail & recreation,2020-03-24,36.42857142857143,44.44
Grocery & pharmacy,2020-03-24,81.71428571428571,44.44
Residential,2020-03-24,120.28571428571429,44.44
Transit stations,2020-03-25,36.285714285714285,44.44
Workplaces,2020-03-25,44.857142857142854,44.44
Retail & recreation,2020-03-25,31.714285714285715,44.44
Grocery & pharmacy,2020-03-25,76,44.44
Residential,2020-03-25,121.57142857142857,44.44
Transit stations,2020-03-26,32.142857142857146,44.44
Workplaces,2020-03-26,41.285714285714285,44.44
Retail & recreation,2020-03-26,27.571428571428573,44.44
Grocery & pharmacy,2020-03-26,71.42857142857143,44.44
Residential,2020-03-26,122.42857142857143,44.44
Transit stations,2020-03-27,29.285714285714285,44.44
Workplaces,2020-03-27,37.857142857142854,44.44
Retail & recreation,2020-03-27,23.428571428571427,44.44
Grocery & pharmacy,2020-03-27,68,44.44
Residential,2020-03-27,123.85714285714286,44.44
Transit stations,2020-03-28,28.142857142857142,44.44
Workplaces,2020-03-28,36.142857142857146,44.44
Retail & recreation,2020-03-28,23,44.44
Grocery & pharmacy,2020-03-28,67.14285714285714,44.44
Residential,2020-03-28,124.28571428571429,44.44
Transit stations,2020-03-29,27.428571428571427,44.44
Workplaces,2020-03-29,35.42857142857143,44.44
Retail & recreation,2020-03-29,22.714285714285715,44.44
Grocery & pharmacy,2020-03-29,66.28571428571429,44.44
Residential,2020-03-29,124.57142857142857,44.44
Transit stations,2020-03-30,27,44.44
Workplaces,2020-03-30,34.857142857142854,44.44
Retail & recreation,2020-03-30,22.571428571428573,44.44
Grocery & pharmacy,2020-03-30,65.71428571428571,44.44
Residential,2020-03-30,124.85714285714286,44.44
Transit stations,2020-03-31,26.857142857142858,44.44
Workplaces,2020-03-31,34.42857142857143,44.44
